best_answer_last_adversary - ficticious_play
best_answer_last_adversary : (0, 0, 1, 2, 2)
ficticious_play : (2, 2, 2, 0, 1)
best_answer_last_adversary : (0, 0, 3, 1, 2)
ficticious_play : (1, 1, 2, 0, 3)
best_answer_last_adversary : (0, 2, 0, 1, 4)
ficticious_play : (1, 1, 0, 2, 3)
best_answer_last_adversary : (0, 2, 1, 0, 4)
ficticious_play : (1, 1, 2, 3, 0)
best_answer_last_adversary : (0, 2, 0, 4, 1)
ficticious_play : (1, 1, 2, 3, 0)
best_answer_last_adversary : (0, 2, 0, 4, 1)
ficticious_play : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
ficticious_play : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
ficticious_play : (1, 1, 2, 0, 3)
best_answer_last_adversary : (0, 2, 0, 1, 4)
ficticious_play : (1, 1, 2, 0, 3)
best_answer_last_adversary : (0, 2, 0, 1, 4)
ficticious_play : (1, 3, 1, 0, 2)
best_answer_last_adversary : (0, 0, 2, 1, 3)
ficticious_play : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
ficticious_play : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
ficticious_play : (1, 1, 3, 2, 0)
best_answer_last_adversary : (0, 2, 0, 3, 1)
ficticious_play : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
ficticious_play : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
ficticious_play : (1, 3, 3, 0, 0)
best_answer_last_adversary : (0, 0, 4, 1, 1)
ficticious_play : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
ficticious_play : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
ficticious_play : (1, 3, 1, 0, 2)
best_answer_last_adversary : (0, 0, 2, 1, 3)
ficticious_play : (1, 1, 1, 2, 2)
best_answer_last_adversary : (0, 2, 2, 0, 3)
ficticious_play : (1, 1, 1, 2, 2)
best_answer_last_adversary : (0, 2, 2, 0, 3)
ficticious_play : (1, 1, 3, 2, 0)
best_answer_last_adversary : (0, 2, 0, 3, 1)
