better_answer_last_adversary - stubborn_1
better_answer_last_adversary : (0, 0, 1, 2, 3)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
stubborn_1 : (1, 0, 1, 1, 4)
better_answer_last_adversary : (0, 1, 2, 2, 0)
