epsilon_imitator_0.3 - near
epsilon_imitator_0.3 : (1, 0, 1, 2, 3)
near : (0, 6, 0, 1, 0)
epsilon_imitator_0.3 : (1, 1, 2, 2, 1)
near : (0, 0, 5, 0, 2)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (0, 0, 2, 0, 5)
epsilon_imitator_0.3 : (0, 0, 2, 0, 5)
near : (0, 3, 0, 0, 4)
epsilon_imitator_0.3 : (0, 0, 2, 0, 5)
near : (3, 1, 3, 0, 0)
epsilon_imitator_0.3 : (0, 2, 1, 1, 3)
near : (0, 0, 5, 0, 2)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (0, 7, 0, 0, 0)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (2, 0, 0, 5, 0)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (0, 0, 0, 0, 7)
epsilon_imitator_0.3 : (2, 0, 2, 0, 3)
near : (6, 0, 1, 0, 0)
epsilon_imitator_0.3 : (1, 4, 0, 1, 1)
near : (1, 3, 0, 3, 0)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (0, 4, 3, 0, 0)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (2, 5, 0, 0, 0)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (4, 0, 3, 0, 0)
epsilon_imitator_0.3 : (1, 2, 2, 1, 1)
near : (0, 0, 4, 0, 3)
epsilon_imitator_0.3 : (1, 1, 1, 2, 2)
near : (0, 1, 6, 0, 0)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (0, 3, 0, 4, 0)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (7, 0, 0, 0, 0)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (0, 0, 0, 1, 6)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (0, 0, 0, 7, 0)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (0, 0, 0, 0, 7)
epsilon_imitator_0.3 : (1, 2, 0, 1, 3)
near : (0, 5, 2, 0, 0)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (4, 3, 0, 0, 0)
epsilon_imitator_0.3 : (3, 0, 1, 3, 0)
near : (0, 0, 6, 1, 0)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (0, 5, 2, 0, 0)
epsilon_imitator_0.3 : (1, 3, 1, 1, 1)
near : (2, 0, 3, 0, 2)
epsilon_imitator_0.3 : (0, 0, 5, 0, 2)
near : (0, 5, 0, 2, 0)
epsilon_imitator_0.3 : (0, 0, 3, 2, 2)
near : (0, 0, 7, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (5, 2, 0, 0, 0)
epsilon_imitator_0.3 : (0, 1, 2, 2, 2)
near : (0, 6, 1, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 3, 0, 4, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (1, 0, 3, 0, 3)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (2, 0, 5, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 4, 3, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 5, 2, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 6, 1, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 1, 6, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 7, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (7, 0, 0, 0, 0)
epsilon_imitator_0.3 : (1, 2, 0, 2, 2)
near : (0, 0, 4, 3, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 4, 0, 3)
epsilon_imitator_0.3 : (1, 0, 2, 3, 1)
near : (0, 0, 4, 2, 1)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 7, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 6, 1, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (1, 6, 0, 0, 0)
epsilon_imitator_0.3 : (1, 2, 1, 2, 1)
near : (6, 0, 0, 1, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 4, 2, 1)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 0, 2, 5)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 3, 4, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (5, 1, 0, 0, 1)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 7, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 5, 2, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 1, 1, 5, 0)
epsilon_imitator_0.3 : (4, 1, 1, 0, 1)
near : (7, 0, 0, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 4, 0, 0, 3)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 7, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 2, 0, 5)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 0, 1, 6)
epsilon_imitator_0.3 : (2, 1, 2, 1, 1)
near : (1, 6, 0, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 1, 0, 6, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (1, 6, 0, 0, 0)
epsilon_imitator_0.3 : (1, 3, 1, 1, 1)
near : (0, 0, 5, 2, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 0, 0, 7)
epsilon_imitator_0.3 : (2, 2, 2, 0, 1)
near : (0, 0, 7, 0, 0)
epsilon_imitator_0.3 : (1, 3, 0, 1, 2)
near : (0, 0, 0, 4, 3)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (7, 0, 0, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 0, 1, 6)
epsilon_imitator_0.3 : (3, 1, 1, 2, 0)
near : (0, 1, 0, 6, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 0, 0, 3, 4)
epsilon_imitator_0.3 : (0, 2, 2, 2, 1)
near : (0, 4, 0, 0, 3)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 7, 0, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (4, 3, 0, 0, 0)
epsilon_imitator_0.3 : (0, 5, 0, 2, 0)
near : (0, 5, 0, 2, 0)
epsilon_imitator_0.3 : (1, 1, 1, 2, 2)
near : (0, 3, 0, 1, 3)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (0, 5, 0, 2, 0)
epsilon_imitator_0.3 : (2, 3, 0, 0, 2)
near : (0, 2, 2, 0, 3)
epsilon_imitator_0.3 : (0, 1, 2, 2, 2)
near : (0, 1, 0, 0, 6)
epsilon_imitator_0.3 : (1, 2, 3, 0, 1)
near : (0, 0, 3, 4, 0)
epsilon_imitator_0.3 : (1, 2, 1, 0, 3)
near : (0, 0, 0, 0, 7)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (0, 0, 0, 0, 7)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (0, 0, 7, 0, 0)
epsilon_imitator_0.3 : (4, 2, 0, 0, 1)
near : (2, 2, 0, 0, 3)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (7, 0, 0, 0, 0)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (2, 0, 2, 3, 0)
epsilon_imitator_0.3 : (2, 1, 3, 1, 0)
near : (0, 0, 0, 0, 7)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (4, 0, 0, 3, 0)
epsilon_imitator_0.3 : (2, 1, 2, 0, 2)
near : (0, 0, 0, 0, 7)
epsilon_imitator_0.3 : (1, 1, 0, 2, 3)
near : (0, 5, 0, 2, 0)
epsilon_imitator_0.3 : (2, 1, 0, 3, 1)
near : (0, 7, 0, 0, 0)
epsilon_imitator_0.3 : (0, 3, 1, 1, 2)
near : (0, 7, 0, 0, 0)
epsilon_imitator_0.3 : (3, 3, 0, 0, 1)
near : (0, 1, 2, 1, 3)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (0, 2, 1, 4, 0)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (0, 6, 0, 0, 1)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (1, 2, 2, 2, 0)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (0, 0, 5, 2, 0)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (2, 0, 0, 5, 0)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (5, 2, 0, 0, 0)
epsilon_imitator_0.3 : (1, 0, 2, 2, 2)
near : (0, 3, 0, 4, 0)
epsilon_imitator_0.3 : (2, 0, 5, 0, 0)
near : (0, 0, 0, 4, 3)
epsilon_imitator_0.3 : (1, 3, 0, 2, 1)
near : (6, 0, 0, 0, 1)
