epsilon_imitator_0.4 - imitator
epsilon_imitator_0.4 : (2, 0, 1, 2, 2)
imitator : (3, 0, 1, 1, 2)
epsilon_imitator_0.4 : (1, 2, 2, 2, 0)
imitator : (2, 0, 1, 2, 2)
epsilon_imitator_0.4 : (2, 0, 1, 2, 2)
imitator : (1, 2, 2, 2, 0)
epsilon_imitator_0.4 : (2, 0, 2, 0, 3)
imitator : (2, 0, 1, 2, 2)
epsilon_imitator_0.4 : (1, 2, 2, 2, 0)
imitator : (2, 0, 2, 0, 3)
epsilon_imitator_0.4 : (1, 2, 2, 2, 0)
imitator : (1, 2, 2, 2, 0)
epsilon_imitator_0.4 : (2, 0, 3, 2, 0)
imitator : (1, 2, 2, 2, 0)
epsilon_imitator_0.4 : (0, 3, 2, 1, 1)
imitator : (2, 0, 3, 2, 0)
epsilon_imitator_0.4 : (2, 1, 0, 3, 1)
imitator : (0, 3, 2, 1, 1)
epsilon_imitator_0.4 : (1, 3, 0, 1, 2)
imitator : (2, 1, 0, 3, 1)
epsilon_imitator_0.4 : (0, 3, 2, 1, 1)
imitator : (1, 3, 0, 1, 2)
epsilon_imitator_0.4 : (0, 3, 2, 1, 1)
imitator : (0, 3, 2, 1, 1)
epsilon_imitator_0.4 : (0, 3, 2, 1, 1)
imitator : (0, 3, 2, 1, 1)
epsilon_imitator_0.4 : (1, 0, 1, 4, 1)
imitator : (0, 3, 2, 1, 1)
epsilon_imitator_0.4 : (2, 1, 0, 3, 1)
imitator : (1, 0, 1, 4, 1)
epsilon_imitator_0.4 : (2, 1, 0, 3, 1)
imitator : (2, 1, 0, 3, 1)
epsilon_imitator_0.4 : (1, 1, 1, 3, 1)
imitator : (2, 1, 0, 3, 1)
epsilon_imitator_0.4 : (1, 1, 1, 2, 2)
imitator : (1, 1, 1, 3, 1)
epsilon_imitator_0.4 : (1, 1, 3, 2, 0)
imitator : (1, 1, 1, 2, 2)
epsilon_imitator_0.4 : (1, 3, 0, 1, 2)
imitator : (1, 1, 3, 2, 0)
epsilon_imitator_0.4 : (1, 0, 0, 5, 1)
imitator : (1, 3, 0, 1, 2)
epsilon_imitator_0.4 : (1, 3, 0, 1, 2)
imitator : (1, 0, 0, 5, 1)
epsilon_imitator_0.4 : (1, 3, 0, 1, 2)
imitator : (1, 3, 0, 1, 2)
epsilon_imitator_0.4 : (1, 0, 1, 4, 1)
imitator : (1, 3, 0, 1, 2)
epsilon_imitator_0.4 : (1, 0, 1, 4, 1)
imitator : (1, 0, 1, 4, 1)
epsilon_imitator_0.4 : (1, 0, 1, 4, 1)
imitator : (1, 0, 1, 4, 1)
epsilon_imitator_0.4 : (1, 1, 2, 1, 2)
imitator : (1, 0, 1, 4, 1)
epsilon_imitator_0.4 : (3, 2, 2, 0, 0)
imitator : (1, 1, 2, 1, 2)
epsilon_imitator_0.4 : (2, 2, 2, 1, 0)
imitator : (3, 2, 2, 0, 0)
epsilon_imitator_0.4 : (1, 0, 0, 5, 1)
imitator : (2, 2, 2, 1, 0)
epsilon_imitator_0.4 : (1, 0, 0, 5, 1)
imitator : (1, 0, 0, 5, 1)
epsilon_imitator_0.4 : (2, 0, 2, 1, 2)
