epsilon_imitator_mix_0.4 - stochastic_expert
epsilon_imitator_mix_0.4 : (0, 1, 2, 3, 1)
stochastic_expert : (1, 0, 3, 1, 2)
epsilon_imitator_mix_0.4 : (2, 1, 1, 0, 3)
stochastic_expert : (1, 0, 1, 5, 0)
epsilon_imitator_mix_0.4 : (2, 2, 0, 1, 2)
stochastic_expert : (1, 0, 3, 1, 2)
epsilon_imitator_mix_0.4 : (0, 2, 2, 1, 2)
stochastic_expert : (0, 0, 2, 1, 4)
epsilon_imitator_mix_0.4 : (2, 1, 1, 0, 3)
stochastic_expert : (0, 2, 3, 2, 0)
epsilon_imitator_mix_0.4 : (1, 0, 1, 5, 0)
stochastic_expert : (2, 2, 2, 0, 1)
epsilon_imitator_mix_0.4 : (2, 2, 2, 0, 1)
stochastic_expert : (0, 3, 2, 2, 0)
epsilon_imitator_mix_0.4 : (1, 2, 0, 2, 2)
stochastic_expert : (0, 1, 3, 0, 3)
epsilon_imitator_mix_0.4 : (0, 3, 2, 2, 0)
stochastic_expert : (0, 0, 2, 1, 4)
epsilon_imitator_mix_0.4 : (0, 4, 0, 1, 2)
stochastic_expert : (3, 0, 1, 3, 0)
epsilon_imitator_mix_0.4 : (0, 3, 2, 2, 0)
stochastic_expert : (3, 1, 3, 0, 0)
epsilon_imitator_mix_0.4 : (1, 0, 3, 2, 1)
stochastic_expert : (3, 1, 2, 0, 1)
epsilon_imitator_mix_0.4 : (1, 1, 3, 1, 1)
stochastic_expert : (1, 0, 3, 3, 0)
epsilon_imitator_mix_0.4 : (1, 2, 0, 2, 2)
stochastic_expert : (0, 0, 1, 3, 3)
epsilon_imitator_mix_0.4 : (3, 1, 3, 0, 0)
stochastic_expert : (0, 2, 2, 1, 2)
epsilon_imitator_mix_0.4 : (0, 3, 2, 2, 0)
stochastic_expert : (3, 0, 1, 0, 3)
epsilon_imitator_mix_0.4 : (3, 0, 1, 0, 3)
stochastic_expert : (1, 3, 1, 2, 0)
epsilon_imitator_mix_0.4 : (0, 3, 2, 2, 0)
stochastic_expert : (0, 0, 2, 1, 4)
epsilon_imitator_mix_0.4 : (0, 3, 2, 2, 0)
stochastic_expert : (0, 0, 2, 1, 4)
epsilon_imitator_mix_0.4 : (2, 1, 1, 0, 3)
stochastic_expert : (1, 0, 3, 3, 0)
epsilon_imitator_mix_0.4 : (0, 1, 2, 3, 1)
stochastic_expert : (0, 0, 7, 0, 0)
epsilon_imitator_mix_0.4 : (2, 1, 1, 1, 2)
stochastic_expert : (0, 0, 2, 1, 4)
epsilon_imitator_mix_0.4 : (2, 1, 1, 0, 3)
stochastic_expert : (2, 2, 1, 2, 0)
epsilon_imitator_mix_0.4 : (2, 1, 1, 0, 3)
stochastic_expert : (1, 0, 3, 3, 0)
epsilon_imitator_mix_0.4 : (0, 0, 2, 1, 4)
stochastic_expert : (0, 2, 3, 0, 2)
epsilon_imitator_mix_0.4 : (0, 1, 2, 3, 1)
stochastic_expert : (1, 0, 3, 3, 0)
epsilon_imitator_mix_0.4 : (3, 2, 1, 0, 1)
stochastic_expert : (1, 2, 2, 2, 0)
epsilon_imitator_mix_0.4 : (2, 2, 2, 0, 1)
stochastic_expert : (1, 2, 3, 1, 0)
epsilon_imitator_mix_0.4 : (0, 3, 2, 2, 0)
stochastic_expert : (0, 0, 5, 1, 1)
epsilon_imitator_mix_0.4 : (1, 2, 0, 2, 2)
stochastic_expert : (1, 0, 4, 1, 1)
epsilon_imitator_mix_0.4 : (1, 2, 0, 2, 2)
stochastic_expert : (2, 2, 2, 0, 1)
epsilon_imitator_mix_0.4 : (1, 2, 0, 2, 2)
stochastic_expert : (1, 0, 3, 1, 2)
epsilon_imitator_mix_0.4 : (3, 1, 3, 0, 0)
stochastic_expert : (1, 1, 1, 1, 3)
epsilon_imitator_mix_0.4 : (3, 0, 1, 0, 3)
stochastic_expert : (0, 0, 2, 1, 4)
epsilon_imitator_mix_0.4 : (0, 3, 2, 2, 0)
stochastic_expert : (0, 0, 2, 1, 4)
epsilon_imitator_mix_0.4 : (1, 1, 3, 1, 1)
stochastic_expert : (0, 2, 3, 2, 0)
epsilon_imitator_mix_0.4 : (2, 1, 1, 0, 3)
stochastic_expert : (0, 0, 2, 1, 4)
epsilon_imitator_mix_0.4 : (3, 1, 1, 1, 1)
stochastic_expert : (1, 2, 1, 1, 2)
epsilon_imitator_mix_0.4 : (1, 3, 1, 0, 2)
stochastic_expert : (1, 2, 1, 2, 1)
epsilon_imitator_mix_0.4 : (1, 1, 0, 2, 3)
stochastic_expert : (1, 1, 1, 2, 2)
epsilon_imitator_mix_0.4 : (0, 4, 0, 1, 2)
stochastic_expert : (2, 2, 2, 0, 1)
epsilon_imitator_mix_0.4 : (1, 2, 1, 1, 2)
