imitator - far
imitator : (2, 0, 1, 2, 2)
far : (3, 0, 0, 0, 4)
imitator : (3, 0, 0, 0, 4)
far : (6, 0, 0, 0, 1)
imitator : (6, 0, 0, 0, 1)
far : (0, 0, 0, 7, 0)
imitator : (0, 0, 0, 7, 0)
far : (3, 0, 0, 4, 0)
imitator : (3, 0, 0, 4, 0)
far : (0, 4, 0, 3, 0)
imitator : (0, 4, 0, 3, 0)
far : (0, 5, 2, 0, 0)
imitator : (0, 5, 2, 0, 0)
far : (7, 0, 0, 0, 0)
imitator : (7, 0, 0, 0, 0)
far : (1, 0, 0, 0, 6)
imitator : (1, 0, 0, 0, 6)
far : (7, 0, 0, 0, 0)
imitator : (7, 0, 0, 0, 0)
far : (7, 0, 0, 0, 0)
imitator : (7, 0, 0, 0, 0)
far : (5, 0, 0, 0, 2)
imitator : (5, 0, 0, 0, 2)
far : (0, 0, 6, 0, 1)
imitator : (0, 0, 6, 0, 1)
far : (1, 0, 6, 0, 0)
imitator : (1, 0, 6, 0, 0)
far : (0, 3, 4, 0, 0)
imitator : (0, 3, 4, 0, 0)
far : (7, 0, 0, 0, 0)
imitator : (7, 0, 0, 0, 0)
far : (0, 2, 0, 0, 5)
imitator : (0, 2, 0, 0, 5)
far : (0, 0, 0, 7, 0)
imitator : (0, 0, 0, 7, 0)
far : (4, 0, 0, 3, 0)
imitator : (4, 0, 0, 3, 0)
far : (0, 0, 5, 2, 0)
imitator : (0, 0, 5, 2, 0)
far : (5, 2, 0, 0, 0)
imitator : (5, 2, 0, 0, 0)
far : (0, 0, 0, 0, 7)
imitator : (0, 0, 0, 0, 7)
far : (4, 0, 0, 0, 3)
imitator : (4, 0, 0, 0, 3)
far : (0, 0, 0, 1, 6)
imitator : (0, 0, 0, 1, 6)
far : (3, 0, 0, 0, 4)
imitator : (3, 0, 0, 0, 4)
far : (2, 0, 0, 0, 5)
imitator : (2, 0, 0, 0, 5)
far : (3, 4, 0, 0, 0)
imitator : (3, 4, 0, 0, 0)
far : (0, 0, 2, 5, 0)
imitator : (0, 0, 2, 5, 0)
far : (0, 6, 0, 0, 1)
imitator : (0, 6, 0, 0, 1)
far : (0, 2, 0, 0, 5)
imitator : (0, 2, 0, 0, 5)
far : (0, 1, 6, 0, 0)
imitator : (0, 1, 6, 0, 0)
far : (7, 0, 0, 0, 0)
imitator : (7, 0, 0, 0, 0)
far : (0, 7, 0, 0, 0)
imitator : (0, 7, 0, 0, 0)
far : (1, 0, 0, 6, 0)
imitator : (1, 0, 0, 6, 0)
far : (0, 1, 0, 6, 0)
imitator : (0, 1, 0, 6, 0)
far : (0, 0, 0, 7, 0)
