stubborn_2 - imitator
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
stubborn_2 : (0, 1, 2, 3, 1)
imitator : (0, 1, 2, 3, 1)
